Time,Cases
2014-01-04,0
2014-01-11,0
2014-01-18,0
2014-01-25,3
2014-02-01,0
2014-02-08,1
2014-02-15,0
2014-02-22,1
2014-03-01,0
2014-03-08,20
2014-03-15,63
2014-03-22,134
2014-03-29,64
2014-04-05,30
2014-04-12,9
2014-04-19,3
2014-04-26,2
2014-05-03,0
2014-05-10,0
2014-05-17,0
2014-05-24,3
2014-05-31,3
2014-06-07,1
2014-06-14,3
2014-06-21,1
2014-06-28,1
2014-07-05,0
2014-07-12,0
2014-07-19,0
2014-07-26,0
2014-08-02,0
2014-08-09,0
2014-08-16,0
2014-08-23,0
2014-08-30,1
2014-09-06,1
2014-09-13,0
2014-09-20,0
2014-09-27,0
