Time,Cases
2018-09-19,0
2018-09-25,0
2018-10-01,1
2018-10-07,3
2018-10-13,10
2018-10-19,21
2018-10-25,13
2018-10-31,4
2018-11-06,21
2018-11-12,6
2018-11-18,3
2018-11-24,5
2018-12-01,5
2018-12-07,2
2018-12-13,2
2018-12-19,2
2018-12-25,7
2018-12-31,4
2019-01-06,10
2019-01-12,6
2019-01-18,6
2019-01-24,2
2019-01-30,0
2019-02-05,3
2019-02-11,3
2019-02-17,1
2019-02-23,1
2019-03-01,7
2019-03-07,6
2019-03-13,5
2019-03-19,11
2019-03-25,12
2019-03-31,13
2019-04-06,16
2019-04-12,7
2019-04-18,8
2019-04-24,1
2019-04-30,1
2019-05-06,0
2019-05-12,0
