Cases,Time
1e-06,0.0
9.78484983674782e-07,0.001
1.0781915455567349e-06,0.002
1.0744895675528423e-06,0.003
1.0222797478441042e-06,0.004
1.0985736907392732e-06,0.005
1.0511122525228224e-06,0.006
1.0472216300725054e-06,0.007
1.0295403532812018e-06,0.008
9.630428465949737e-07,0.009000000000000001
8.86394201048441e-07,0.01
8.833446625109506e-07,0.011
8.524885276092402e-07,0.012
7.836710889783455e-07,0.013000000000000001
8.125757901493664e-07,0.014
7.767518849018452e-07,0.015
7.655926039213988e-07,0.016
7.458024818651097e-07,0.017
7.417469253775697e-07,0.018000000000000002
7.243725594549111e-07,0.019
6.874889211947279e-07,0.02
6.850561565354248e-07,0.021
6.666416941155423e-07,0.022
6.529846187913411e-07,0.023
7.058273004570951e-07,0.024
6.537378360206631e-07,0.025
6.28665819003162e-07,0.026000000000000002
9.109619020841404e-07,0.027
8.752519833287537e-07,0.028
8.493478003001999e-07,0.029
7.944644490085502e-07,0.03
7.491475918715575e-07,0.031
6.73441175860166e-07,0.032
6.774230627986256e-07,0.033
6.873695565406543e-07,0.034
6.569543581968319e-07,0.035
6.215411867149873e-07,0.036000000000000004
6.334905278106198e-07,0.037
5.923837048457712e-07,0.038
5.774599636356928e-07,0.039
5.584723626504096e-07,0.04
4.945435138188023e-07,0.041
4.168657621851321e-07,0.042
4.63240667584903e-07,0.043000000000000003
4.114445657571177e-07,0.044
3.034706031077191e-07,0.045
2.8802856582052653e-07,0.046
2.356377842205185e-07,0.047
2.580967425870279e-07,0.048
2.1523675017832675e-07,0.049
2.114833588582803e-07,0.05
1.8294969418210418e-07,0.051000000000000004
1.252733163978155e-07,0.052000000000000005
1.0816865520090708e-07,0.053
1.286538240007341e-07,0.054
1.7971820359003875e-07,0.055
1.962098034337698e-07,0.056
1.91689680587456e-07,0.057
2.448087378280086e-07,0.058
1.7185242481480729e-07,0.059000000000000004
1.303936097967736e-07,0.06
1.337348892181871e-07,0.061
1.0173934799406925e-07,0.062
9.590185987111985e-08,0.063
1.0256746412658028e-07,0.064
1.6990665549224968e-07,0.065
1.9970017359977097e-07,0.066
2.146798204178649e-07,0.067
2.311881929919361e-07,0.068
2.442951048658564e-07,0.069
3.301272959028633e-07,0.07
3.225727338693308e-07,0.07100000000000001
3.683202962469124e-07,0.07200000000000001
3.745525451943152e-07,0.073
3.8048650249000274e-07,0.074
4.319327996228785e-07,0.075
4.347219740999109e-07,0.076
4.257053534422769e-07,0.077
4.269604718330258e-07,0.078
3.84733367144872e-07,0.079
3.668309110728271e-07,0.08
3.527463478929546e-07,0.081
3.9704939434729997e-07,0.082
3.716929484686981e-07,0.083
3.3400859611021217e-07,0.084
3.639069056828607e-07,0.085
3.113332641528439e-07,0.08600000000000001
2.7353433299484584e-07,0.08700000000000001
3.023234506940996e-07,0.088
2.932404108180988e-07,0.089
3.518322219340112e-07,0.09
3.332209590979044e-07,0.091
3.4620132839114935e-07,0.092
3.208326483259346e-07,0.093
3.3838672536468345e-07,0.094
2.894463399471477e-07,0.095
2.552484725179713e-07,0.096
2.44350790448589e-07,0.097
2.59411389261358e-07,0.098
2.804023214966515e-07,0.099
2.844027795696183e-07,0.1
2.60219922705394e-07,0.101
2.180159042390949e-07,0.10200000000000001
2.158408420113746e-07,0.10300000000000001
2.0251500293649346e-07,0.10400000000000001
1.8092147961235434e-07,0.105
1.5943721433679458e-07,0.106
1.4238707907036428e-07,0.107
1.4596677555561968e-07,0.108
1.7620861607406773e-07,0.109
1.6859359137630114e-07,0.11
1.2834151564393624e-07,0.111
1.0625518801786689e-07,0.112
7.76174171824941e-08,0.113
3.7600883258571226e-08,0.114
7.934523457410166e-08,0.115
1.0403436010613112e-07,0.116
8.405970841165228e-08,0.117
9.603708090962664e-08,0.11800000000000001
1.072366548300884e-07,0.11900000000000001
1.1971672626607994e-07,0.12
9.450805579563229e-08,0.121
1.0841033646511383e-07,0.122
1.0028406704954076e-07,0.123
8.666103961165418e-08,0.124
6.697616873733784e-08,0.125
4.2420432739904387e-08,0.126
4.7997174682598215e-08,0.127
5.1722424302907917e-08,0.128
1.0094637132362373e-07,0.129
3.0939096773521334e-08,0.13
1.1048927087195729e-07,0.131
1.6648155797156185e-07,0.132
1.855980023388484e-07,0.133
1.7698982238825377e-07,0.134
1.9197312161165253e-07,0.135
1.1589191955704854e-07,0.136
1.652557865034713e-07,0.137
1.579112970575566e-07,0.138
1.0544044547914472e-07,0.139
6.266708024273361e-08,0.14
5.395378542087087e-08,0.14100000000000001
1.362238167279672e-07,0.14200000000000002
8.407998112760196e-08,0.14300000000000002
7.974617850013496e-08,0.14400000000000002
3.9287415047859733e-08,0.145
3.1623751248200846e-08,0.146
0.0,0.147
3.0152647690585885e-08,0.148
9.97793717703824e-09,0.149
2.1075862290247108e-08,0.15
0.0,0.151
8.841084990481903e-09,0.152
0.0,0.153
2.7190212924190663e-08,0.154
2.003715459813669e-08,0.155
0.0,0.156
4.030074837025142e-09,0.157
1.85181368284645e-08,0.158
7.345702948989943e-08,0.159
1.6149756633721865e-08,0.16
1.805485168756179e-08,0.161
3.9568102670536745e-08,0.162
1.9837560382373e-08,0.163
0.0,0.164
0.0,0.165
2.118882103946092e-08,0.166
2.551018577234676e-08,0.167
6.779998037861988e-08,0.168
9.049929584930132e-08,0.169
8.65659816251375e-08,0.17
9.911464855702769e-08,0.171
4.657000797921886e-08,0.17200000000000001
0.0,0.17300000000000001
1.5818364944017584e-08,0.17400000000000002
3.963468656109125e-08,0.17500000000000002
4.06580526017042e-08,0.176
4.266722694834164e-08,0.177
2.7864058170573466e-08,0.178
9.157807914916292e-09,0.179
0.0,0.18
3.679641960193253e-08,0.181
1.49672257695715e-08,0.182
6.87584316723966e-08,0.183
8.624334548987913e-09,0.184
5.269168579074568e-08,0.185
4.3593624946480424e-08,0.186
1.0853382066547161e-07,0.187
4.0931393689925766e-08,0.188
0.0,0.189
0.0,0.19
0.0,0.191
0.0,0.192
0.0,0.193
6.076031244517762e-08,0.194
7.21505747344162e-08,0.195
6.084055625817745e-08,0.196
4.680675553939115e-08,0.197
1.3749791829778698e-07,0.198
1.200403499556834e-07,0.199
1.013094707768154e-07,0.2
1.0147877164351733e-07,0.201
1.1853656503345878e-07,0.202
1.0628500733701713e-07,0.203
9.456328881409044e-08,0.20400000000000001
8.471479652225624e-08,0.20500000000000002
7.173057200547484e-08,0.20600000000000002
1.0611375853333553e-07,0.20700000000000002
7.063339479319186e-08,0.20800000000000002
2.6694152508549743e-08,0.209
8.898932604242016e-08,0.21
9.427075364869165e-08,0.211
9.265741604438424e-08,0.212
1.5907524484974006e-07,0.213
1.4418474564552377e-07,0.214
1.5058948106811754e-07,0.215
1.4952766471540997e-07,0.216
1.3389106178955374e-07,0.217
1.522204391923656e-07,0.218
1.275182797864814e-07,0.219
1.5547956265500837e-07,0.22
1.7245618049380997e-07,0.221
1.5878817464265337e-07,0.222
1.0956549578559004e-07,0.223
8.68487590204249e-08,0.224
7.216414394517758e-08,0.225
5.6785526214985655e-08,0.226
1.3610821920231034e-08,0.227
3.2324976443783324e-08,0.228
4.27396759237472e-08,0.229
4.1513549345323165e-08,0.23
2.4050309391141908e-08,0.231
2.823602326598677e-09,0.232
3.214844567796592e-08,0.233
4.544785737816946e-08,0.234
7.752470183812306e-08,0.23500000000000001
5.507550294066534e-08,0.23600000000000002
0.0,0.23700000000000002
